lat,lon
59.9608168,30.3032878
59.8423673,30.3627534
59.8304403,30.3773443
59.9191342,30.3392889
59.9991313,30.2882853
59.9995104,30.2943472
59.9424573,30.2615063
59.8456074,30.3781449
59.8420707,30.3924287
59.8355829,30.3660022
59.8784529,30.2660331
59.9270391,30.3559769
59.9990934,30.361619
59.9228162,30.4208462
59.8099963,30.5692999
59.8548966,30.3746354
59.9545205,30.4363322
59.8380806,30.3979304
59.7388968,30.6228076
59.947037,30.3823762
59.9399905,30.2684088
59.9448073,30.266079
59.7362871,30.6175579
59.707196,30.4157213
59.9240622,30.3367755
59.8350751,30.2216515
60.0278607,30.2236178
59.918506,30.3460359
60.0520734,30.3326016
59.8988112,30.2744521
59.7332408,30.5776001
59.8564531,30.2095612
59.9786873,30.4209533
59.9839979,30.4006162
59.8746664,29.8995863
59.9884066,30.3112042
59.9918203,30.3070911
59.9141025,30.3094675
59.9284697,30.3048304
59.9262409,30.358565
59.9573418,30.3072002
59.9669767,30.3100769
60.0894701,29.953784
60.0140846,30.250924
60.1035311,29.9758128
60.092528,29.9570066
59.86332,30.3040345
59.944049,30.227546
59.9123223,30.2978315
60.0149715,30.3159563
59.9116802,30.3069503
59.9140327,30.323598
59.8514735,30.271824
60.1988993,29.6998907
59.9157367,30.3048399
59.9249362,30.4952649
59.741609,30.4174578
59.9184085,30.4960431
59.9936922,30.3151646
59.8383982,30.2522433
59.9187965,30.482377
60.0323332,30.4013127
59.9001639,30.400706
60.0167012,30.3366482
60.0164478,30.3370389
59.840701,30.2428519
59.8695324,29.8543318
59.85515,30.2408581
59.7860955,30.1119687
60.000095,30.2479798
59.913195,30.2772759
59.921656,30.2865236
59.8365457,30.2456021
59.8420711,30.4897164
59.8371577,30.5112775
59.7503749,30.5670817
59.8420378,30.1312615
59.8786646,30.460559
59.8968584,30.4213837
60.0224258,30.2398232
59.8642638,30.3993911
59.6858387,30.4322298
59.685785,30.4238157
60.0370977,30.3311178
60.0097828,30.358752
60.0470886,30.3517895
