lat,lon
55.6528178,37.3962502
55.7277797,37.6368336
55.6383073,37.6963692
55.83446,37.45062
55.8539373,37.501589
55.5332861,37.5247494
55.612822,37.5930082
55.6135895,37.5809026
55.6506456,37.5602139
55.6660831,37.4883014
55.7157525,37.7716325
55.7167195,37.7751365
55.7649248,37.7883993
55.8882478,37.6576523
55.7557724,37.6969041
55.7237322,37.8286777
55.7381023,37.8303576
55.7125296,37.8164929
55.6721926,37.5507669
55.6725681,37.5497829
55.8591044,37.6551991
55.8578218,37.6537397
55.7191433,37.8236237
55.7216815,37.5909235
55.8877336,37.6767609
55.8028852,37.7640932
55.8121669,37.8269633
55.6556701,37.5718489
55.8725996,37.6935494
55.8731779,37.6299403
55.5835973,37.6828984
55.8736386,37.6367825
55.8678576,37.6226147
55.8755652,37.6374734
55.598237,37.5128416
55.8236888,37.8176046
55.7957485,37.5936274
55.7967721,37.5939098
55.6923724,37.5518097
55.6927353,37.5496532
55.6930571,37.5582752
55.44684,37.2519475
55.4994492,37.3054402
55.802502,37.8035719
55.7785954,37.7279839
55.8898015,37.5934075
55.8155945,37.6539777
55.738611,37.4136294
55.6507537,37.400336
55.8176582,37.8146748
55.8671811,37.7042432
55.8178291,37.8205757
55.8878758,37.5893934
55.8951379,37.5912457
55.7384035,37.7637383
55.7472821,37.7569707
55.7490003,37.6496691
55.6025772,37.3489678
55.598092,37.354248
55.59468,37.3648329
55.4303784,36.8685933
55.4305781,36.8682916
55.5987003,37.6640102
55.6207664,37.4721972
55.8447593,37.6605186
55.8508384,37.4096974
55.7265585,37.5821937
55.8243458,37.5282108
55.7031113,37.842188
55.6758565,37.6619094
55.5074479,37.5684073
55.8764097,37.7015865
55.878681,37.6975476
55.7972816,37.460562
55.8320744,37.6612274
55.8339496,37.5684341
55.679031,37.5598944
55.850796,37.4323524
55.8369961,37.6416825
55.6408201,37.3650518
55.6854079,37.5685326
55.7756311,37.658553
55.6473667,37.2696912
55.7174324,37.4139144
55.6666758,37.5520792
55.6547606,37.7654194
55.8752747,37.5644677
55.7933801,37.819708
55.7932732,37.8143566
55.8575261,37.4196314
55.8577594,37.4213617
55.8698422,37.6311878
55.8196711,37.8026989
55.716928,37.6189027
55.7257723,37.4496593
55.7142201,37.6148358
55.8193193,37.825191
55.7435204,37.5071174
55.6473644,37.4151836
55.6496726,37.4101407
